epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,814.134,0.69702,0.39236,0.99964,0.98256,0.96089,0.98659,0.82054,0.67327,0.33828,0.91406,0.000990365,0.000990365,0.000990365
43,831.771,0.70076,0.3917,0.99703,0.97655,0.96612,0.98592,0.82131,0.67925,0.33726,0.90883,0.000973861,0.000973861,0.000973861
44,849.254,0.70014,0.38604,0.99646,0.96827,0.97416,0.98982,0.81681,0.68716,0.32584,0.91249,0.000957358,0.000957358,0.000957358
45,867.001,0.6917,0.38272,0.99795,0.97647,0.97004,0.98828,0.82261,0.6812,0.31247,0.91139,0.000940855,0.000940855,0.000940855
46,885.341,0.69544,0.38001,0.99611,0.97784,0.9631,0.99039,0.8189,0.69246,0.31426,0.91303,0.000924352,0.000924352,0.000924352
47,903.572,0.69468,0.38251,0.99692,0.97875,0.97344,0.98928,0.82708,0.67295,0.31698,0.90338,0.000907848,0.000907848,0.000907848
48,921.274,0.68907,0.38051,0.99241,0.97477,0.97858,0.98886,0.82229,0.67698,0.31066,0.91335,0.000891345,0.000891345,0.000891345
49,938.748,0.68965,0.38604,0.99325,0.97652,0.96752,0.98719,0.81692,0.68521,0.31365,0.90609,0.000874842,0.000874842,0.000874842
50,956.326,0.68402,0.37234,0.99203,0.96857,0.97954,0.98988,0.82319,0.67242,0.30174,0.904,0.000858338,0.000858338,0.000858338
51,973.745,0.68023,0.37137,0.98987,0.97449,0.97048,0.98638,0.811,0.69702,0.31478,0.90934,0.000841835,0.000841835,0.000841835
52,991.332,0.68303,0.37649,0.99393,0.96638,0.97476,0.98901,0.81579,0.69841,0.30738,0.9107,0.000825332,0.000825332,0.000825332
53,1008.92,0.68356,0.37857,0.9957,0.97145,0.97416,0.98887,0.82161,0.67222,0.31111,0.9112,0.000808828,0.000808828,0.000808828
54,1026.35,0.67784,0.36927,0.99528,0.9669,0.97858,0.98981,0.82293,0.68211,0.30956,0.90361,0.000792325,0.000792325,0.000792325
55,1044.02,0.68645,0.37279,0.99237,0.96469,0.97995,0.98702,0.81421,0.68752,0.30315,0.90944,0.000775822,0.000775822,0.000775822
56,1061.58,0.67366,0.37073,0.99007,0.97698,0.97544,0.98761,0.8224,0.67441,0.3105,0.91427,0.000759318,0.000759318,0.000759318
57,1079.17,0.68256,0.37299,0.99345,0.97212,0.97858,0.98609,0.81771,0.68677,0.30564,0.903,0.000742815,0.000742815,0.000742815
58,1097.33,0.67517,0.37462,0.99136,0.97876,0.97552,0.98719,0.8154,0.6793,0.3071,0.90282,0.000726312,0.000726312,0.000726312
59,1115.39,0.67153,0.36559,0.99204,0.97403,0.97858,0.98474,0.82464,0.66387,0.29942,0.90745,0.000709809,0.000709809,0.000709809
60,1133.41,0.6718,0.36884,0.99385,0.97465,0.96977,0.99071,0.82752,0.66936,0.30235,0.91622,0.000693305,0.000693305,0.000693305
61,1151.16,0.67741,0.36581,0.9948,0.96261,0.981,0.98785,0.82063,0.6752,0.30218,0.91052,0.000676802,0.000676802,0.000676802
62,1168.63,0.67143,0.36557,0.9944,0.97271,0.96913,0.9877,0.82624,0.66553,0.30549,0.91013,0.000660299,0.000660299,0.000660299
63,1186.2,0.66193,0.35974,0.98318,0.98689,0.96089,0.98982,0.82761,0.66698,0.30438,0.90599,0.000643795,0.000643795,0.000643795
64,1203.84,0.66461,0.36024,0.9893,0.9827,0.96531,0.99018,0.83144,0.66677,0.29817,0.90946,0.000627292,0.000627292,0.000627292
65,1221.38,0.66688,0.35468,0.98875,0.97651,0.97167,0.98885,0.82274,0.678,0.29877,0.90615,0.000610789,0.000610789,0.000610789
66,1238.94,0.66273,0.35757,0.98415,0.97042,0.97564,0.98936,0.82029,0.68427,0.29637,0.90729,0.000594286,0.000594286,0.000594286
67,1256.61,0.65818,0.35457,0.98604,0.97675,0.96704,0.98778,0.8224,0.67175,0.3008,0.90307,0.000577782,0.000577782,0.000577782
68,1274.1,0.65821,0.35249,0.983,0.97458,0.97522,0.9883,0.82525,0.67375,0.29992,0.90703,0.000561279,0.000561279,0.000561279
69,1291.49,0.66152,0.35421,0.98651,0.96367,0.9808,0.98615,0.82376,0.67785,0.29526,0.90003,0.000544776,0.000544776,0.000544776
70,1309.29,0.65086,0.35124,0.97816,0.97741,0.96531,0.98605,0.82551,0.67836,0.29198,0.90432,0.000528272,0.000528272,0.000528272
71,1327.62,0.65434,0.35217,0.97635,0.98243,0.96089,0.98685,0.83062,0.66962,0.29965,0.90167,0.000511769,0.000511769,0.000511769
72,1346.03,0.65383,0.34861,0.97765,0.96294,0.9808,0.98812,0.83394,0.65586,0.289,0.90033,0.000495266,0.000495266,0.000495266
73,1363.68,0.65099,0.34946,0.98223,0.96414,0.97768,0.98765,0.82732,0.67357,0.29381,0.91622,0.000478762,0.000478762,0.000478762
74,1381.26,0.64916,0.34829,0.98238,0.98165,0.96089,0.98892,0.82709,0.66057,0.29538,0.9076,0.000462259,0.000462259,0.000462259
75,1398.7,0.65174,0.35396,0.98244,0.97451,0.97297,0.9894,0.83083,0.66476,0.29121,0.90595,0.000445756,0.000445756,0.000445756
76,1416.24,0.65227,0.34613,0.98362,0.981,0.96155,0.98835,0.8285,0.66744,0.29612,0.90555,0.000429253,0.000429253,0.000429253
77,1433.77,0.64257,0.34364,0.97818,0.97676,0.96752,0.98759,0.82854,0.66834,0.28972,0.89963,0.000412749,0.000412749,0.000412749
78,1451.34,0.6417,0.34545,0.9791,0.9827,0.96089,0.98998,0.8303,0.66407,0.29209,0.90474,0.000396246,0.000396246,0.000396246
79,1469,0.64454,0.3419,0.97923,0.98276,0.9631,0.98978,0.82801,0.66257,0.29075,0.90389,0.000379743,0.000379743,0.000379743
80,1486.59,0.64433,0.34395,0.9841,0.96204,0.9816,0.98747,0.83019,0.6612,0.29312,0.90222,0.000363239,0.000363239,0.000363239
81,1504.27,0.64261,0.33754,0.97837,0.96723,0.97858,0.98809,0.82734,0.66278,0.28065,0.89532,0.000346736,0.000346736,0.000346736
82,1521.89,0.64209,0.34416,0.98289,0.9744,0.97103,0.98983,0.83195,0.66123,0.28717,0.90241,0.000330233,0.000330233,0.000330233
83,1540,0.63899,0.34374,0.98437,0.97084,0.97858,0.98851,0.83043,0.6592,0.28784,0.90452,0.000313729,0.000313729,0.000313729
84,1558.35,0.64323,0.34167,0.98558,0.96887,0.97637,0.98942,0.83133,0.6556,0.29185,0.90735,0.000297226,0.000297226,0.000297226
85,1576.18,0.63881,0.33994,0.98272,0.9662,0.97887,0.98785,0.82789,0.66157,0.28964,0.90235,0.000280723,0.000280723,0.000280723
86,1593.52,0.6357,0.33622,0.97972,0.96418,0.9808,0.98853,0.82787,0.66553,0.28968,0.90359,0.00026422,0.00026422,0.00026422
87,1611.14,0.63062,0.33791,0.97892,0.96037,0.9792,0.98685,0.82889,0.65923,0.2863,0.90067,0.000247716,0.000247716,0.000247716
88,1628.83,0.63169,0.33547,0.97643,0.96655,0.98147,0.98699,0.82892,0.6565,0.27988,0.89707,0.000231213,0.000231213,0.000231213
89,1646.4,0.63025,0.33228,0.97406,0.9634,0.98301,0.98669,0.83193,0.6517,0.28147,0.89769,0.00021471,0.00021471,0.00021471
90,1663.94,0.63048,0.3285,0.97525,0.96633,0.98345,0.98697,0.82916,0.65484,0.27993,0.89778,0.000198206,0.000198206,0.000198206
91,1746.52,0.57801,0.28468,0.92933,0.96912,0.97858,0.98785,0.83211,0.65924,0.28722,0.90693,0.000181703,0.000181703,0.000181703
92,1764.26,0.57083,0.27586,0.927,0.98112,0.96261,0.98819,0.83444,0.65485,0.28024,0.90382,0.0001652,0.0001652,0.0001652
93,1781.94,0.56668,0.27426,0.92624,0.96979,0.97637,0.98721,0.83323,0.65445,0.27838,0.90268,0.000148696,0.000148696,0.000148696
94,1799.54,0.56607,0.27244,0.91956,0.97041,0.97637,0.98602,0.83007,0.65832,0.28073,0.90151,0.000132193,0.000132193,0.000132193
95,1816.84,0.56289,0.2704,0.91731,0.9724,0.97385,0.98595,0.82932,0.65619,0.28057,0.90117,0.00011569,0.00011569,0.00011569
96,1834.11,0.56129,0.26806,0.9181,0.97229,0.97858,0.98583,0.83004,0.65576,0.27973,0.90249,9.91865e-05,9.91865e-05,9.91865e-05
97,1851.26,0.56047,0.2669,0.91956,0.9812,0.96246,0.98618,0.83146,0.65503,0.27865,0.90215,8.26832e-05,8.26832e-05,8.26832e-05
98,1868.3,0.55644,0.26389,0.91792,0.97248,0.97507,0.98687,0.82923,0.65733,0.28191,0.90216,6.61799e-05,6.61799e-05,6.61799e-05
99,1885.47,0.55492,0.26349,0.91351,0.9724,0.97539,0.9867,0.83505,0.65297,0.28155,0.90039,4.96766e-05,4.96766e-05,4.96766e-05
100,1902.71,0.55305,0.26158,0.91615,0.96964,0.97637,0.98681,0.8331,0.6531,0.28185,0.90078,3.31733e-05,3.31733e-05,3.31733e-05
